NAME_1,NAME_2,DESC_OCC,RACE,STATE_DATE,END_DATE,BOS_START_DATE,BOS_END_DATE,TYPE,ACTION,START_LOC,END_LOC,LAT,LONG,ORIG_ADDRESS,RECORDS,DIGS,IIIF,HAD,SOURCE,LD,OTHER_REPO,NOTES,LAYER,TITLE_1,URL_1,TITLE_2,URL_2,TITLE_3,URL_3
1854 Massachusetts State Council of Colored Citizens held in Boston ,,,,1854-01-02,1854-01-03,1854-01-02,1854-01-03,Event,occurred,,1854,42.3604427,-71.0681428,,,,,,Colored Conventions Project.. ,,https://omeka.coloredconventions.org/items/show/263,,"Boston, 1780-1880",,,,,,
"1872 New England States Convention of Colored Citizens held in Boston, Massachusetts",,,,1872-00-00,1872-00-00,1872-00-00,1872-00-00,Event,occurred,,1872,,,,,,,,Colored Conventions Project.. ,,,,"Boston, 1780-1880",,,,,,
1883 Massachusetts State Convention of Colored Men held in Boston,,,,1883-00-00,1883-00-00,1883-00-00,1883-00-00,Event,occurred,,1883,,,,,,,,Colored Conventions Project.. ,,,,"Boston, 1780-1880",,,,,,
1892 Massachusetts State Convention of Colored Men held in Boston,,,,1892-00-00,1892-00-00,1892-00-00,1892-00-00,Event,occurred,,1892,,,,,,,,Colored Conventions Project.. ,,,,"Boston, 1780-1880",,,,,,
George Latimer Case,,,,1842-10-18,1842-11-21,1842-10-18,1842-11-21,Event,occurred,,1842,42.358947,-71.058838,,990041895600203941; 990062091490203941,,,,Wikipedia.. ,Q5541555,https://ebooks.library.cornell.edu/cgi/t/text/pageviewer-idx?c=mayantislavery;idno=15853624;view=image;seq=1,,"Boston, 1780-1880",[report of] the joint special committee,https://id.lib.harvard.edu/alma/990041895600203941/catalog,"Proceedings of the citizens of the borough of norfolk, on the boston outrage",https://id.lib.harvard.edu/alma/990062091490203941/catalog,,
James Scott trial for aiding the freeing of Shadrach Minkins,,,,1851-05-00,1851-05-00,1851-05-00,1851-05-00,Event,occured,,1851,,,,,,,,"Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",,,,"Boston, 1780-1880",,,,,,
Parade of the 54th Massachusetts Volunteer Infantry,,,,1863-05-28,1863-05-28,1863-05-28,1863-05-28,Event,occurred,,1863,42.356678,-71.064829,,990113404490203941; 990086907430203941,https://iiif.lib.harvard.edu/manifests/view/ids:6474105,https://iiif.lib.harvard.edu/manifests/ids:6474105,https://hollisarchives.lib.harvard.edu/repositories/24/resources/1370,Mass Moments.. ,Q1140668,,,"Boston, 1780-1880",Harvardians in the rebellion of 1861-1865,https://id.lib.harvard.edu/alma/990113404490203941/catalog,"Military order of the loyal legion of the united states commandery of the state of massachusetts civil war collection, 1724-1933 (inclusive), 1861-1912 (bulk)",https://id.lib.harvard.edu/alma/990086907430203941/catalog,,
Protests Over the Kidnapping and Re-enslavement of Anthony Burns,,,,1854-05-26,1854-06-02,1854-05-26,1854-06-02,Event,occurred,,1854,42.359146,-71.054804,,990029247200203941; 990006020060203941; 990105970020203941,http://nrs.harvard.edu/urn-3:HUL.FIG:002375072; https://iiif.lib.harvard.edu/manifests/view/drs:43607319$346i,https://iiif.lib.harvard.edu/manifests/drs:428668396; https://iiif.lib.harvard.edu/manifests/drs:43607319; https://iiif.lib.harvard.edu/manifests/drs:43607319,https://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/566430; https://hollisarchives.lib.harvard.edu/repositories/33/archival_objects/2421066; https://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/647198; https://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/647199; https://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/494327,Mass Moments.. ,Q2852821,,,"Boston, 1780-1880",Boston slave riot and trial of anthony burns,https://id.lib.harvard.edu/alma/990029247200203941/catalog,"Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,"Thomas wentworth higginson additional scrapbooks and other papers, 1838-1923",https://id.lib.harvard.edu/alma/990105970020203941/catalog
Rescue of Shadrach Minkins from Court House,,,,1851-02-15,1851-02-15,1851-02-15,1851-02-15,Event,occurred,,1851,42.358947,-71.058838,,,,,,Mass Moments.. ,Q7460863,,,"Boston, 1780-1880",,,,,,
Sarah Parker Remond's Ejection from the Howard Athenaeum,,,,1853-05-04,1853-05-04,1853-05-04,1853-05-04,Event,occurred,,1853,42.360384,-71.061157,,990006020060203941; 990066324950203941;,http://nrs.harvard.edu/urn-3:FHCL.HOUGH:5089911,https://iiif.lib.harvard.edu/manifests/drs:27801977,https://hollisarchives.lib.harvard.edu/repositories/24/archival_objects/495027,Mass Moments.. ,Q4794162,,,"Boston, 1780-1880","Wendell phillips papers, 1555-1882, (bulk) 1833-1881",https://id.lib.harvard.edu/alma/990006020060203941/catalog,Negroes & anglo-africans as freedmen and soldiers,https://id.lib.harvard.edu/alma/990066324950203941/catalog,,
Abiel Smith School,,,,1834-00-00,1855-00-00,1834-00-00,1855-00-00,Organization,met,1834,1855,42.360015,-71.065153,,,,,,"Wikipedia.. Boston African American National Historic Site.. Kathryn Grover and Janine V. da Silva, ""Historic Resource Study: Boston African American National Historic Site, 31 December 2002."" Discover Underground Railroad History. National Parks Service.. ",Q4667629,,,"Boston, 1780-1880",,,,,,
